image,NIQE,BRISQUE,NIMA
image (1).jpeg,4.209811200202156,35.49920654296875,5.969520568847656
image (5).jpeg,4.322230948924131,43.74188232421875,5.83411979675293
image (8).jpeg,3.9448658028228576,26.59637451171875,6.049790382385254
image.jpeg,3.7853560428086723,27.46942138671875,6.165984153747559
image (3).jpeg,3.618818539112663,32.37274169921875,5.684484958648682
image (2).jpeg,2.6526975860053534,26.99774169921875,5.496654033660889
image (9).jpeg,4.407825210423383,33.86395263671875,5.868514537811279
image (7).jpeg,4.288699119710407,27.22772216796875,5.667328834533691
image (4).jpeg,3.7726001211641207,50.71405029296875,5.777239799499512
image (6).jpeg,3.2338882595889418,32.26776123046875,6.131108283996582
